park_id,unit_code,name,designation,population_center,region
127,MONO,Monocacy NB,National Battlefield,Suburban Area,National Capital  Region
128,LYBA,LBJ Memorial Grove on the Potomac,National Memorial,Urban Area,National Capital  Region
131,MABI,Marsh-Billings-Rockefeller NHP,National Historical Park,Rural Area,Northeast  Region
130,GOSP,Golden Spike NHP,National Historical Park,Outlying Area,Intermountain  Region
132,NOAT,Noatak NPRES,National Preserve,Remote Area,Alaska Region
133,NISI,Ninety Six NHS,National Historic Site,Rural Area,Southeast  Region
148,PRWI,Prince William Forest Park,Park (Other),Suburban Area,National Capital  Region
149,WAMO,Washington Monument,National Memorial,Urban Area,National Capital  Region
150,WHSA,White Sands NP,National Park,Mixed Area,Intermountain  Region
151,WIHO,William Howard Taft NHS,National Historic Site,Urban Area,Midwest  Region
152,STEA,Steamtown NHS,National Historic Site,Urban Area,Northeast  Region
359,FOSU,Fort Sumter and Fort Moultrie NHP,National Historical Park,Mixed Area,Southeast  Region
444,RIGR,Rio Grande W&SR,National Wild & Scenic River,Rural Area,Intermountain  Region
166,CRMO,Craters of the Moon NM & PRES,National Monument,Mixed Area,Pacific West  Region
167,ELMO,El Morro NM,National Monument,Rural Area,Intermountain  Region
158,BIHO,Big Hole NB,National Battlefield,Rural Area,Pacific West  Region
165,ELRO,Eleanor Roosevelt NHS,National Historic Site,Urban Area,Northeast  Region
138,MOCA,Montezuma Castle NM,National Monument,Outlying Area,Intermountain  Region
139,AGFO,Agate Fossil Beds NM,National Monument,Rural Area,Midwest  Region
171,CAHA,Cape Hatteras NS,National Seashore,Rural Area,Southeast  Region
173,CAGR,Casa Grande Ruins NM,National Monument,Suburban Area,Intermountain  Region
193,HAFO,Hagerman Fossil Beds NM,National Monument,Outlying Area,Pacific West  Region
177,EUON,Eugene O'Neill NHS,National Historic Site,Suburban Area,Pacific West  Region
190,FOLS,Fort Larned NHS,National Historic Site,Rural Area,Midwest  Region
608,WWII,World War II Memorial,National Memorial,Urban Area,National Capital  Region
445,CIRO,City of Rocks NRES,National Reserve,Rural Area,Pacific West  Region
192,FOSC,Fort Scott NHS,National Historic Site,Rural Area,Midwest  Region
181,BADL,Badlands NP,National Park,Mixed Area,Midwest  Region
92,ANTI,Antietam NB,National Battlefield,Outlying Area,National Capital  Region
97,CHIR,Chiricahua NM,National Monument,Outlying Area,Intermountain  Region
186,KICA,Kings Canyon NP,National Park,Suburban Area,Pacific West  Region
188,FODO,Fort Donelson NB,National Battlefield,Mixed Area,Southeast  Region
204,KLSE,Klondike Gold Rush NHP Seattle,National Historical Park,Urban Area,Pacific West  Region
195,GEWA,George Washington Birthplace NM,National Monument,Rural Area,Northeast  Region
206,GWCA,George Washington Carver NM,National Monument,Outlying Area,Midwest  Region
209,GEGR,General Grant NMEM,National Memorial,Urban Area,Northeast  Region
211,GERO,George Rogers Clark NHP,National Historical Park,Rural Area,Midwest  Region
218,HOFR,Home of Franklin D. Roosevelt NHS,National Historic Site,Urban Area,Northeast  Region
219,MOJA,Mojave NPRES,National Preserve,Suburban Area,Pacific West  Region
220,MOCR,Moores Creek NB,National Battlefield,Outlying Area,Southeast  Region
208,GRSA,Great Sand Dunes NP & PRES,National Park,Rural Area,Intermountain  Region
210,KEMO,Kennesaw Mountain NBP,National Battlefield Park,Urban Area,Southeast  Region
215,KIMO,Kings Mountain NMP,National Military Park,Mixed Area,Southeast  Region
214,LABE,Lava Beds NM,National Monument,Rural Area,Pacific West  Region
216,JOFL,Johnstown Flood NMEM,National Memorial,Outlying Area,Northeast  Region
217,MIMA,Minute Man NHP,National Historical Park,Mixed Area,Northeast  Region
262,SAAN,San Antonio Missions NHP,National Historical Park,Urban Area,Intermountain  Region
633,VALL,Valles Caldera NPRES,National Preserve,Outlying Area,Intermountain  Region
634,MIIN,Minidoka NHS,National Historic Site,Rural Area,Pacific West  Region
655,FRRI,Freedom Riders NM,National Monument,Urban Area,Southeast  Region
656,HATU,Harriet Tubman Underground Railroad NHP,National Historical Park,Rural Area,Northeast  Region
657,MISP,Mill Springs Battlefield NM,National Monument,Rural Area,Southeast  Region
658,STGE,Ste. Genevieve NHP,National Historical Park,Rural Area,Midwest  Region
659,REER,Reconstruction Era NHP,National Historical Park,Outlying Area,Southeast  Region
660,TULE,Tule Lake NM,National Monument,Rural Area,Pacific West  Region
221,NATC,Natchez NHP,National Historical Park,Rural Area,Southeast  Region
222,NABR,Natural Bridges NM,National Monument,Rural Area,Intermountain  Region
225,OCMU,Ocmulgee Mounds NHP,National Historical Park,Mixed Area,Southeast  Region
226,PECO,Pecos NHP,National Historical Park,Rural Area,Intermountain  Region
243,RUCA,Russell Cave NM,National Monument,Rural Area,Southeast  Region
227,KNRI,Knife River Indian Villages NHS,National Historic Site,Rural Area,Midwest  Region
228,KOVA,Kobuk Valley NP,National Park,Remote Area,Alaska Region
229,OBRI,Obed W&SR,National Wild & Scenic River,Outlying Area,Southeast  Region
230,JEFF,Gateway Arch NP,National Park,Urban Area,Midwest  Region
364,CAVO,Capulin Volcano NM,National Monument,Rural Area,Intermountain  Region
452,SAMO,Santa Monica Mountains NRA,National Recreation Area,Mixed Area,Pacific West  Region
498,CUVA,Cuyahoga Valley NP,National Park,Mixed Area,Midwest  Region
244,WRST,Wrangell-St. Elias NP & PRES,National Park,Rural Area,Alaska Region
257,TONT,Tonto NM,National Monument,Rural Area,Intermountain  Region
456,JAZZ,New Orleans Jazz NHP,National Historical Park,Urban Area,Southeast  Region
258,PEFO,Petrified Forest NP,National Park,Rural Area,Intermountain  Region
259,TIMU,Timucuan EHP,National Preserve,Suburban Area,Southeast  Region
466,BLRI,Blue Ridge PKWY,National Parkway,Mixed Area,Southeast  Region
459,COLM,Colorado NM,National Monument,Outlying Area,Intermountain  Region
255,VICK,Vicksburg NMP,National Military Park,Mixed Area,Southeast  Region
256,NOCA,North Cascades NP,National Park,Outlying Area,Pacific West  Region
104,BISC,Biscayne NP,National Park,Suburban Area,Southeast  Region
637,PAGR,Paterson Great Falls NHP,National Historical Park,Urban Area,Northeast  Region
95,ARPO,Arkansas Post NMEM,National Memorial,Rural Area,Midwest  Region
